data,value
34.623659624517,0
30.2867107682261,0
35.8474087699387,0
60.1825993862098,1
79.0327360507101,1
45.0832774766834,0
61.1066645368477,1
75.0247455673889,1
76.0987867022626,1
84.4328199612004,1
95.8615550709357,0
75.0136583895825,0
82.3070533739948,1
69.3645887597094,1
39.5383391436722,0
53.9710521485623,1
69.0701440628303,1
67.9468554771162,0
70.6615095549944,1
76.978783727475,1
67.3720275457088,0
89.6767757507208,1
50.534788289883,0
34.2120609778679,0
77.9240914545704,1
62.2710136700463,1
80.1901807509566,1
93.114388797442,0
61.830206023126,0
38.7858037967942,0
61.379289447425,1
85.4045193941164,1
52.1079797319398,0
52.0454047683183,1
40.2368937354511,0
54.6351055542482,0
33.9155001090689,0
64.1769888749449,1
74.7892529594154,0
34.1836400264419,0
83.9023936624916,1
51.5477202690618,0
94.4433677691785,1
82.3687537571392,0
51.0477517712887,0
62.2226757612019,0
77.1930349260136,1
97.7715992800023,1
62.0730637966765,1
91.5649744980744,1
79.9448179406693,1
99.2725269292572,1
90.5467141139985,1
34.5245138532001,0
50.2864961189907,0
49.5866772163203,0
97.6456339600777,1
32.5772001680931,0
74.248691367216,1
71.7964620586338,1
75.3956114656803,1
35.2861128152619,0
56.2538174971162,0
30.058822446698,0
44.6682617248089,0
66.5608944724295,0
40.4575509837516,1
49.0725632190884,0
80.27957401467,1
66.7467185694404,1
32.7228330406032,0
64.0393204150601,1
72.3464942257992,1
60.4578857391896,1
58.840956217268,1
99.8278577969213,1
47.2642691084817,1
50.4581598028599,1
60.4555562927153,0
82.2266615778557,0
88.9138964166533,1
94.834506724302,1
67.3192574691753,1
57.2387063156986,1
80.3667560017127,1
68.4685217859111,1
42.0754545384731,0
75.4777020053391,1
78.6354243489802,1
52.3480039879411,0
94.0943311251679,1
90.4485509709636,1
55.4821611406959,0
74.4926924184304,1
89.8458067072098,1
83.4891627449824,1
42.2617008099817,1
99.315008805104,1
55.340017560037,1
74.7758930009277,1
